"sim","Field Operations","Heavy Operations","Office/Admin","Technical"
2967,367358.25,410020.94,38068.92,390991.17
2968,479815.36,362960.35,31499.23,485960.28
2969,387929.47,633867.76,11644.3,453352.72
2970,616747.92,587101.34,62393.12,469587.95
2971,416661.89,388503.3,43728.81,330702.55
2972,481535.94,394098.33,40734.75,400605.45
2973,331100.09,445277.98,72285.82,447532.07
2974,409294.1,580632.97,32295.58,563077.14
2975,360511.57,510562.68,38953.31,571094.33
2976,494627.97,534192.38,21872.24,464392.39
2977,363047.31,461105.72,18846.63,435119.68
2978,422156.81,517615.26,22653.89,814872.23
2979,449252.25,430788.85,44898.01,334762.01
2980,503728.15,388123.59,60759.76,430169.73
2981,430514.95,385379.01,36175.2,445589.59
2982,432451.25,588203.57,48015.07,583078.87
2983,393444.61,441995.32,60276.71,367944.02
2984,446065.45,488329.28,26322.08,507070.21
2985,450668.08,528376.62,93736.01,328641.91
2986,430934.53,507786.42,26303.02,435132.04
2987,484539.17,486876.74,37824.91,407907.97
2988,500452.37,419321.55,43094.22,503023.51
2989,457238.45,484309.76,104821.52,366090.78
2990,506818.62,480897.23,29650.58,342706.24
2991,476644.53,529139.75,72184.8,372010.4
2992,388597.44,488496.62,50512.71,355994.04
2993,516183.75,488063.99,40607.84,725434.39
2994,400396.91,404794.4,25447.86,358677.21
2995,608647.78,380929.8,35565.35,444833.19
2996,505465.31,408977.55,66817.47,364047.02
2997,595244.8,614386.31,20680.6,428181.12
2998,401791.21,426996.22,64149.67,461553.95
2999,431336.32,510580.15,50370.51,407669.07
3000,386984.15,453794.05,64280.23,495724.33
3001,411612.58,357924.79,63491.56,409064.65
3002,425112.08,503286.03,25424.84,351786.41
3003,382988.53,554153.63,22405.9,349449.12
3004,369112.52,484616.93,58006.61,495163.35
3005,388481.71,559931.45,35832.27,305070.66
3006,465681.52,460945.79,77310.2,411976.38
3007,399896.63,383521.21,71822.28,390211.76
3008,394912.96,696071.23,32178.46,362192.41
3009,366404.16,403733.56,62003.99,328955.62
3010,577097.65,350721.31,29567.08,410788.97
3011,441502.54,448997.23,58046.39,639815.93
3012,531191.31,400005.03,25150.55,264026.55
3013,370355.94,427804.2,38898.42,580067.55
3014,593822.81,487674.13,45377.44,393467.92
3015,474743.19,494553.97,56166.88,701736.6
3016,378517.25,475779.78,90270.64,403345.36
3017,448377.97,449114.99,54251.67,373639.5
3018,411044.57,545671.67,51137.38,356862.91
3019,454617.86,420121.29,55539.47,469710.46
3020,510032.97,469098.75,203809.65,357002.38
3021,524352.27,367630.63,54150.67,560473
3022,385067.3,461371.17,32990.84,396517.12
3023,455335.32,380197.35,38394.49,553695.4
3024,376340.06,531456.18,39690.49,332814.77
3025,488631.79,398640.05,32069.38,512603.67
3026,439562.9,364122.23,16757.44,434967.51
3027,418570.28,415370.26,72638,542488.81
3028,381026.16,554960.08,48054.88,329401
3029,430071.91,471207.57,52392.12,437124.81
3030,533588.79,433292.11,47323.41,504221.07
3031,389701.59,399899.72,32877.08,369137.85
3032,477496.11,458073.02,34657.33,332016.53
3033,386493.01,494434.18,50069.12,338998.51
3034,429989.09,388622.69,54885.33,441990.13
3035,435552.61,447908.55,59715.34,367811.38
3036,436951.11,469679.31,34241.79,540735.19
3037,419718.32,461837.58,42846.33,514446.19
3038,410839.98,441789.52,38132.6,394683.83
3039,358846.8,485559.99,15672.13,538732.84
3040,464623.18,534025.82,54000.43,492501.19
3041,523090.86,475918.47,41458.62,567939.71
3042,387061.25,447809,28942.93,606364.92
3043,410637.68,558304.77,37958.82,424909.31
3044,424492.15,408344.78,27412.12,589783.69
3045,433671.51,479265.77,43026.78,431812.44
3046,457047.33,382872.73,37057.43,576341.85
3047,395621.9,462982.91,50350.7,452252.7
3048,424301.99,429244.71,35441.03,524740.66
3049,490143.25,516327.05,51317.66,349863.95
3050,484275.35,436102.86,127165.19,301834.99
3051,443980.74,484555.87,24427.44,500975.86
3052,414138.84,452493.03,36438.89,447059.28
3053,396032.08,469970.43,52190.2,368713.58
3054,434448.78,318083.02,26226.16,570424.74
3055,445858.17,416349.21,51280.42,488223.78
3056,418014.14,461982.11,33947.72,404237.8
3057,467504.59,514490.85,39388.09,506237.71
3058,400315.82,329808.62,49911.87,379815.21
3059,390523.88,532206.39,22158.06,470015.3
3060,439519.01,544280.16,35051.94,422279.8
3061,370293.31,545103.96,43813.47,395706.11
3062,513063.13,334988.68,38321.59,440512.36
3063,525586.42,505607.17,43620.52,477710.31
3064,428542.91,530782.08,39138.13,439483.95
3065,393372.6,434211.77,76899.19,360129.14
3066,375282.55,381082.83,43547.25,425846.56
3067,412440.33,407929.71,80605.66,417936.12
3068,368047.94,407357.47,54653.65,593427.58
3069,517771.06,408926.79,37032.76,372324.3
3070,449247.58,445886.18,25280.34,299115
3071,462710.71,506901.72,36958.95,495886.41
3072,537471.44,482575.58,165546.52,538593.2
3073,366893.41,437933.88,37332.47,544189.5
3074,391479.96,528053.64,42252.89,527551.33
3075,485795.6,402068.23,64120.91,574999.29
3076,459991.42,538255,42522.74,488088.16
3077,450982.87,511687.92,93324.09,332750.26
3078,516120.44,469666.31,40385.6,369027.62
3079,408580.86,431054.67,38158.31,530199.65
3080,558677.51,367530.76,57178.12,407686.33
3081,396522.18,499996.72,29372.02,467296.3
3082,345813.8,507161.38,11625.72,414417.59
3083,377381.55,459325.79,33462.28,435902.84
3084,480008.86,340159.03,32875.27,499908.46
3085,528130,492626.09,22624.03,532831.33
3086,385543.1,452228.13,45162.87,418528.93
3087,433894.48,526462.91,62452.65,423581.29
3088,600644.1,465209.32,58067.28,602132.96
3089,400985.97,372322.3,47815.05,407153.52
3090,384000.58,521427.48,26785.36,418903.65
3091,454786.68,464578.7,36667.53,510850.93
3092,525646.11,479101.41,20879.06,386325.6
3093,485110.16,404501.06,36943.99,455462.93
3094,433854.25,427031.73,102186.83,484847.55
3095,514757.91,503129.29,113652.33,364037.76
3096,421502.35,565624.72,95644.77,406447.97
3097,479101.47,398574.02,31880.5,560070.1
3098,454397.55,355440.7,21092.07,431926.85
3099,446004.58,479992.39,83756.85,455312.59
3100,381789.98,362698.48,62085.71,510236.6
3101,572632.06,406849.39,77170.68,380038.05
3102,396662.84,347473.52,23441.72,456748.28
3103,425413.96,455838.2,30942.18,640505.6
3104,584213.32,416240.28,31520.4,471789.59
3105,459000.16,399722.48,66891.28,302640.12
3106,351113.68,419447.44,43315.46,472354.91
3107,434418.62,408370.11,55744.79,480264.73
3108,442583.06,466582.21,26438.81,444795.72
3109,365523.01,532535.92,24897.99,389681.02
3110,449913.71,509468.5,108080.24,459587.34
3111,339552.78,553980.23,49891.39,355922.41
3112,530831.94,423715.79,39803.38,488841.25
3113,487716.19,544362.43,36740.82,525950.21
3114,476105.37,456597.2,72148.84,378206.22
3115,346024.13,498017.68,27041.04,464331.17
3116,392466.49,389015.31,46787.09,491156.45
3117,475482.17,399405.35,48854.65,501945.74
3118,554686.16,434600.76,19238.86,387743.16
3119,440243.7,478215.87,19740.12,463528.51
3120,479596.17,528005.62,41305.04,358621.08
3121,397186.5,446836.4,29019.38,529497.26
3122,428429.24,492051.57,31959.81,465926.73
3123,406629.9,415931,33735.98,431635.02
3124,422535.72,377914.26,45575.29,390821.41
3125,497667.48,386333.36,29577.05,431590.85
3126,440256.04,561549.17,27225.82,347708.44
3127,378383.52,449499.17,51671.25,323286.74
3128,458684.9,408373.66,65916.65,379850.72
3129,440873.14,323331.61,103711.97,313663.71
3130,506438.78,476258.48,27177.82,479569.78
3131,396569.83,558952.66,46201.99,375052.91
3132,406726.02,571661.72,61719.18,442082.66
3133,449782.8,587221.53,33919.46,309836.29
3134,562730.43,632085.48,35134.25,440737.84
3135,401518.89,498301.4,22837.69,526867.34
3136,460419.06,634907.29,9140.26,403744.23
3137,535721.64,361167.98,51126.85,571770.76
3138,376567.32,441504.2,33536.57,535354.66
3139,297299.2,457425.91,71952.67,478750.76
3140,515094.14,460798.78,36989.79,405364.78
3141,411798.21,547856.48,45312.82,369222.03
3142,450665.23,507666.38,36387.21,401357.74
3143,454154.34,394063.35,61473.02,420313.48
3144,390944.52,481223.18,65572.72,500831.85
3145,417030.19,451893.56,57119.8,306288.43
3146,417953.99,379202.82,18591.83,507799.65
3147,446641,444569.97,31240.9,461446.48
3148,432033.99,482240.15,39190.31,389519.94
3149,406809.31,413639.17,92088.11,483727.72
3150,469048.71,447789.5,55751.36,435886.16
3151,424198.86,418494.84,38890.04,475114.88
3152,453201.33,483227.14,42216.99,386171.66
3153,422475.49,382922.31,32104.32,399340.36
3154,516899.69,497049.48,31824.51,490168.46
3155,386490.7,566177.62,40718.61,447427.37
3156,483179.82,407799.69,24018.39,495069.77
3157,362238.03,480775.68,59898.3,597911.91
3158,431198.03,418789.57,37704.96,410218.44
3159,385469.04,430159.98,42832.93,530429.86
3160,549840.46,456887.38,67425.69,488755.73
3161,501850.89,383316.81,23919.39,393225.41
3162,478034.04,291050.77,21217.49,444231.79
3163,450652.61,480789.85,59327.5,515390.84
3164,486606.34,397605.74,35060.54,360559.92
3165,439584.55,444419.7,58516.1,644473.71
3166,698892.94,489887.71,99116.8,488888.38
3167,507879.59,432447.13,40488.02,519698.05
3168,421548.83,403729.96,41293.7,371171.57
3169,440361.62,376416.76,47236.39,484858.44
3170,372033.71,440633.38,68379.41,371810.64
3171,325057.66,484939.58,71109.66,413801.23
3172,488126.62,351375.64,20532.04,559948.11
3173,324380.77,383412.81,29779.19,371493.01
3174,479441.41,598008.25,90744.27,417570.04
3175,417866.38,400206.57,38436.1,586767.89
3176,378310.73,393755.73,23506.52,725092.45
3177,462604,478901.23,37808.18,462739.45
3178,370123.12,587610.32,93974.66,507374.45
3179,520977.11,437502.38,52235.76,438725.48
3180,607604.73,541974.51,69414.32,301534.04
3181,479787.37,418016.84,27777.85,366522.91
3182,403925.93,445653.65,41208.77,381313.2
3183,381365.72,560135.3,29591.06,409580.13
3184,367246.97,384537.01,29814.28,584923.43
3185,395296.42,444231.65,27214.28,376948.37
3186,519579.27,455225.58,42904.28,480915.92
3187,346539.44,543437.19,86338.75,427853.52
3188,520034.18,424846.43,68765.38,443079.38
3189,344721.6,401913.4,35376.34,352184.08
3190,405810.46,490880.13,17026.43,413836.83
3191,472065.82,448417.82,60022.46,360693.32
3192,484361.5,380197.72,16858.96,368276.86
3193,400471.86,459387.62,24021,456243.21
3194,568026.45,437662.97,33255.89,396668.13
3195,426025.13,415147.65,37458.86,466143.17
3196,411805.92,401017.22,33385.24,407393.07
3197,503408.45,482217.24,60117.1,561355.84
3198,431204.71,389170.42,27725.4,443143.83
3199,421268.41,548588.99,28781.3,363925.3
3200,411414.23,441657.7,37168.67,547627.94
3201,494950.12,400764.41,56783.73,505413.61
3202,440091.89,452537.29,38027.42,407514.37
3203,417574.22,403741.7,21144.66,461875.24
3204,449088.85,451207.89,30473.55,331929.36
3205,474656.05,590737.87,67711.14,452865.64
3206,478111.17,493576.07,28941.44,394812.85
3207,524023.65,539524.82,18797.62,472080
3208,406000.61,465505.93,31570,278056.88
3209,536266.55,559840.27,30534.21,405450.94
3210,476900.3,431830.89,53065.03,418825.02
3211,371357.07,451911.43,50894.99,596381.59
3212,488587.19,486958.49,40215.79,411862.23
3213,424662.11,471963.99,37483.4,467604.88
3214,412096.53,518883.02,42373.95,436184.01
3215,490062.27,457354.22,15930.56,386638.84
3216,457652.95,425745.24,44360.93,443355.82
3217,365945.19,427357.44,42429.26,487421.72
3218,378377.53,400981.34,39164.53,755101.77
3219,413560.89,535321.58,45423.4,389755
3220,396528.33,510186.78,48625.04,360306.99
3221,335867.38,404096.03,29392.96,339735.42
3222,466008.22,452876.88,15065,433809.21
3223,463600.31,559520.19,34245.99,333592.87
3224,444355.74,596443.03,52571.98,536603.72
3225,395107.9,362827.24,99673.35,467795.54
3226,423272.25,529575.03,52661.36,435422.91
3227,413619.06,592481.99,187260.22,405727.31
3228,383431.74,400957.58,42817.8,317108.58
3229,398990.49,389860.68,99468.31,381168.43
3230,367331.85,411679.65,36976.76,384900.99
3231,467965.82,517688.19,39486.78,486894
3232,379371.76,447138.09,30099.45,379227.48
3233,359762.14,401628.74,36736.31,462486.77
3234,373577.98,438168.88,64880.69,314041.93
3235,379588.92,469273.91,41245.42,488034.3
3236,475746.83,519880.31,36319.62,360239.18
3237,520045.61,434780.96,31297.27,556736.6
3238,412266.69,511535.6,44693.64,518497.97
3239,467058.11,472376.32,48076.71,472953.37
3240,460315.23,414107.56,33197.12,422650.79
3241,508408.95,412320.72,25901.39,430392.23
3242,531944.13,462260.01,39903.61,519722.66
3243,426710.89,405958.54,35635.08,440097.84
3244,355392.04,466600.13,74418.93,341896.65
3245,344881.15,426071.28,71496.76,453791.96
3246,491037.57,571356.61,25847.24,379924.14
3247,373864.95,365057.14,43313.67,432406.97
3248,437161.7,403982.31,46993.42,332324.07
3249,507363.78,407574.1,45341.61,447219.25
3250,529942.35,336996.82,37659.58,377755.79
3251,414819.37,510888.97,37711.49,411723.89
3252,449109.44,487310.51,55351.7,457776.67
3253,413537.39,548205.1,43604.05,445092.37
3254,568028.01,436801.29,56805.75,408982.08
3255,352799.53,402867.13,17151.64,333568.91
3256,342422.86,443659.62,38233.53,407272.06
3257,462666.68,369138.47,55735.98,652822.41
3258,415929.95,374218.14,25174.82,424954.3
3259,404771.31,371350.01,19594.21,511364.53
3260,387047.28,432712.66,28807.16,665616.07
3261,370328.27,465052.25,40914.5,344537.77
3262,444245.99,357712.93,25449.13,405537.13
3263,458651.41,483060.41,44011.64,544508.29
3264,573040.62,496497.81,44777.3,569993.14
3265,379732.96,434627.2,53573.63,422035.96
3266,521581.88,387142.48,40192.62,354901.7
3267,362215.42,447677.73,32412.39,360732.54
3268,477702.86,442412.38,51116.86,361064.01
3269,389544.92,590863,44317.74,361648.45
3270,369198.35,505734.83,33385.44,420482.22
3271,475064.81,457520.58,55582.51,397249.45
3272,438183.3,426703.08,42869.98,576909.26
3273,369667.47,403762.73,48814.24,516258.08
3274,375941.64,561240.28,28321.87,392873.02
3275,392004.29,393411.66,40959.66,373533.95
3276,448809.07,353515.05,46103.22,385145.31
3277,448828.39,391150.89,25836.69,517237.61
3278,388036.28,378463.24,50495.09,388943.43
3279,407003.53,410198.06,109020.61,347411.19
3280,344587.78,498838.75,29128.16,450131.3
3281,410401.78,413395.82,47068.27,609522.2
3282,383486.17,357387.58,122714.34,340009.57
3283,354750.11,454752.85,48419.97,381615.88
3284,441220.32,469119.61,19299.14,442883.37
3285,575091.68,514244.04,35547.35,387713.48
3286,517825.54,466356.84,46031.27,573236.37
3287,524461.65,597595.45,19573.91,622402.66
3288,469741.93,549774,54950,544188.12
3289,367638.54,478981.1,27449.09,480332.8
3290,357184.75,360544.69,36437.13,478292.17
3291,414790.78,410064.35,25884.55,474929.97
3292,443927.8,614924.7,24482.47,408031.21
3293,492279.08,414113,25930.67,395159.91
3294,395913.6,448604.8,37817.01,375693.77
3295,441417.68,467273.16,57368.76,517769.08
3296,415980.53,443833.37,40296.32,484919.12
3297,453603.77,480708.86,57114.18,438240.43
3298,410547.83,448415.25,43654.33,644231.42
3299,522328.9,670358.32,46319.15,706453.9
3300,469679.82,472436.24,43930.92,514991.11
3301,449785.78,446430.46,38870.09,361523.69
3302,320384.52,385646.94,36940.49,327730.81
3303,374182.75,448057.74,146183.8,487467.87
3304,503560.91,536322.2,46955.65,317402.15
3305,441250.93,399065.59,28391.41,561090.9
3306,402649.74,362005.84,36933.4,441176.73
3307,396311.11,506007.03,42844.86,420047.92
3308,361105.11,501081.7,51504,571744.8
3309,472790.51,412188.58,27881.88,311585.8
3310,420859.04,537715.4,64708.19,434882.1
3311,538039.65,495182.39,34817,304060.44
3312,388069.91,412177.96,33540.45,504922.43
3313,451494.94,393035.69,34533.3,344653.92
3314,485110.3,352000.51,43601.07,337597.43
3315,486095.81,450749.29,18455.65,515835.23
3316,431463.7,375986.99,27328.89,427933.07
3317,414831.81,577980.06,54246.92,491801.84
3318,381007.46,378927.96,23495.33,506978.84
3319,414219.55,401619.32,28546.9,569776.43
3320,487261.37,400651.75,7842.94,577509.96
3321,533323.45,547286.65,37331.41,475864.34
3322,393505.89,445246.77,49625.74,504506.9
3323,468007.86,622612.75,36071.61,343657.16
3324,431684.56,544363.95,36392.58,351981.07
3325,515583.87,452866.86,93276.26,404294.16
3326,523676.92,524622.59,60943.19,542704.09
3327,501094.64,597759.22,39130.99,437377.87
3328,386816.77,376043.68,46222.74,360794.92
3329,413675.07,565327.91,78335.3,502604.43
3330,407588.1,442034.88,63528.93,394446.32
3331,441504.05,506053.7,29963.34,421421.55
3332,695513.34,554509.95,35550.59,433384.95
3333,491326.81,421348.97,34236.89,424020.31
3334,482506.07,517936.77,80694.93,418894.77
3335,411620.58,387630.48,36922.92,408240.44
3336,417073.46,375117.31,87939.91,365460.26
3337,508431.05,420018.5,39492.62,395008.6
3338,420692.88,509592.7,60516.32,435650.67
3339,589132.88,473984.38,47978.57,424957.87
3340,486798.18,456727.05,40123.17,387874.19
3341,587578.37,410179.99,161451,594372.85
3342,291391.25,478733.54,22387,573794.2
3343,400636.87,536751.41,53175.34,357698.2
3344,456714.7,593350.32,37428.64,382574.8
3345,326175.31,502985.47,23842.26,449108.17
3346,392297.08,399060.89,19064.83,377005.89
3347,474297.41,417770.98,53870.8,370941.55
3348,422369.29,434857.22,61453.93,517286.94
3349,355116.66,429151,36414.61,439295.31
3350,374850.55,383217.29,70574.74,551186.86
3351,497074.06,414752.02,22889.25,416003.43
3352,498083.76,430114.5,59896.91,583587.18
3353,376452.35,519844.68,100400.36,468473.75
3354,483839.28,530188.08,49559.22,416017.81
3355,428983.07,438418.77,29113.85,424202.89
3356,415205.12,465918.22,16559.39,419973.2
3357,475251.55,444888.21,18198.31,518099.13
3358,363695.98,401184.54,31817.33,661215.13
3359,427378.27,484616.52,23691.27,503404.47
3360,378982.7,492506.41,22504.09,369486.97
3361,376307.29,457943.47,27856.46,414146.95
3362,508876.63,364205.51,21736.62,418765.67
3363,419346.71,435695.89,29953.67,418609
3364,477034.64,308160.65,15833.83,325775.44
3365,444440.41,716386.02,109225.25,446182.56
3366,365730.13,393536.23,54220.53,429093.29
3367,615960.89,369196.48,107535.72,555678.32
3368,394684.48,444367.94,28994.72,444040.67
3369,412356.29,338785.75,38947.07,451852.81
3370,360766.94,438553.26,36578.51,488965.13
3371,442704.18,423091.52,72837.8,573399.32
3372,391104.8,557150.55,24316.35,467617.65
3373,607973.76,539743.77,34679.55,402932.95
3374,404769.99,505855.41,32747.42,437347.07
3375,395812.64,426477.69,60899.51,508241.55
3376,570356.27,586185.16,43554.86,401662.08
3377,456224.22,405754.4,65127.01,386130.87
3378,466294.36,483634.84,65005.44,423289.88
3379,426373.17,457404.36,50750.34,399561.33
3380,455327.23,501696.63,67680.42,382342.92
3381,420227.89,456515.41,56579.49,451006.97
3382,408554.36,396311.27,12358.53,386946.21
3383,480142.46,558132.94,47944.35,861307.06
3384,369886.51,459909.4,52655.45,436799.02
3385,380416.88,371397.35,34708.27,419611.56
3386,313871.94,495163.08,31115.55,336806.72
3387,411128.69,449322.75,19295.43,376316.56
3388,482352.77,441725.87,41831.96,342743.4
3389,478055.06,323787.06,32954,377956.7
3390,587609.14,491239.9,23623.88,389509.34
3391,484850.94,475073.23,30631.34,446789.47
3392,455980.83,448331.24,39407.07,513692.93
3393,397756.39,506529.16,40102.75,437547.96
3394,304455.26,741023.32,47000.64,413257.97
3395,473723.36,371076.11,32881.51,504483.76
3396,454607.43,369746.65,40163.68,385433.58
3397,548516.77,435115.35,38627.04,370805.2
3398,422849.89,465391.88,135120.46,286305.96
3399,430563.98,508163.44,32383.28,379772.24
3400,431594.62,469753.06,45624.18,383796.71
3401,371219.82,337757.74,30695.63,415282.93
3402,501396.57,393602,41670.54,411918.09
3403,372851.98,388460.01,19466.8,528359.79
3404,378557.06,404028.39,41925.59,459104.51
3405,372330.5,447210.68,45436.83,477630.45
3406,492025.12,502054.82,103530.1,352912.49
3407,484961.12,469590.47,58846.96,424080.42
3408,386214.24,429160.98,43925.23,382869.51
3409,379457.76,429650.51,67371.48,441189.7
3410,463195.89,605727.15,40030.45,403912.64
3411,473666.28,509632.84,29143.81,354839.93
3412,489341.17,431171.76,41029.38,388576.36
3413,470901.96,434063.95,55140.92,487217.26
3414,419337.51,396338.76,44292.55,385845.06
3415,572830.82,462921.92,57738.83,510002.16
3416,366254.87,557975.82,29524.26,712977.17
3417,372812.25,493602.75,141936.46,441952.06
3418,443435.56,379898.52,30443.99,547139.86
3419,390275.44,523268.96,21134.88,430779.96
3420,448377.42,378922.82,44322.11,550391.14
3421,457639.01,390084.74,40479.16,479419.48
3422,462041.29,558059.65,38771.2,509006.59
3423,468191.41,456853.75,36014.77,538500.86
3424,560156.99,500736.66,72718.15,450424.09
3425,341694.31,533983.61,28149.73,523638.7
3426,700605.1,416138.78,17144.57,480091.98
3427,399951.26,499383.47,33758.1,353142.52
3428,423666.25,556813.51,72715.29,353409.42
3429,385322.3,402076.87,38729.57,601574.86
3430,440360.11,441614,40441.31,430644.96
3431,411136.85,424461.1,46091.34,618872.13
3432,495639.85,547769.72,36952.28,469841.46
3433,430131.61,567124.15,183870.41,317665.85
3434,432364.15,422552.52,34666.23,419439
3435,533609.25,503681.99,20642.87,331042.16
3436,402032.62,451098.43,39065.4,309221.8
3437,377616.46,430802.5,34897.71,381474.76
3438,405643.93,387364.17,17763.34,407038.21
3439,444432.98,431029.64,39337.01,558041.41
3440,490037.25,501931.21,72464.53,312133.55
3441,553577.29,357843.78,44811.91,412554.36
3442,391336.86,386005.03,27934.87,379319.74
3443,465009.34,502076.79,107186.4,502114.55
3444,426787.93,455756.49,28031.41,532401.17
3445,406903,527474.82,22564.49,508097.72
3446,505536.07,497355.18,46674.09,376057.59
3447,392226.36,449402.94,45169.59,550572.75
3448,396223.64,470466.67,69889.71,374722.48
3449,468988.48,459125.78,36941.65,508496.65
3450,380272.21,344629.69,20568.74,485371.66
3451,374032.3,503554.23,44334.69,487277.98
3452,397508.43,415899.01,36303.24,465874.79
3453,478952.02,535550.16,49624.15,308299.41
3454,459301.2,394299.76,49003.92,336207.52
3455,453296.82,622551.22,15279.56,508277.29
3456,454277.55,381174.38,26344.17,539932.02
3457,379273.06,506582.7,50628.26,511580.2
3458,679544.61,426804.34,37074.46,384630.21
3459,427652.77,505118.91,54710.78,670365.15
3460,548670.51,543402.92,41475.01,466113.23
3461,362545.78,522658.12,28373.15,363405.02
3462,411259.41,525711.25,54528.82,337013.55
3463,392719.35,399794.65,25994.01,480374.8
3464,574569.55,440640.21,32043.59,468983.51
3465,370406.91,509428.01,40198.53,313146.05
3466,374991.97,451763.4,78614.79,436886.14
3467,486140.4,612608.85,41284.93,548754.07
3468,392314.5,369865.94,26358.34,274186.34
3469,390660.98,453208.63,50735.22,349083.02
3470,328326.64,503071.69,25097.25,347966.3
3471,415809.79,422415.3,14565.74,310568.36
3472,455658,606314,33311.85,566799.74
3473,465601.76,450283.3,27337.05,415362.04
3474,427362.59,551124.38,43997.94,424368.07
3475,349549.6,552386.95,36820.5,503415.19
3476,470867.22,508896.31,123116.71,328823.06
3477,393319.43,401926.75,38474.94,471011.63
3478,347142.16,382930.13,59733.81,496235.25
3479,406207.58,501156.36,44397.87,325212.54
3480,465138.71,398607.56,58689.03,391399.99
3481,331912.16,522869.74,97506,445244.03
3482,382647.02,410951.72,31519.73,622450.3
3483,427362.43,457924.56,57441.47,859007.48
3484,420737.96,446287.37,35393.44,491532.42
3485,364977.28,377143.96,57451.19,470397.34
3486,360256.37,427222.77,28064.99,455609.95
3487,373909.29,489807.43,24285.56,464651.68
3488,346446.16,544067.01,31479.52,302970.82
3489,372219.09,349840.52,39956.55,404213.07
3490,383265.69,549852.51,30219.54,411214.4
3491,392495.15,472037.91,204642.15,502188.22
3492,416660.08,514686.77,57559.76,485014.25
3493,340324.69,551270.43,62345.31,358776.92
3494,407099.5,490264.56,28998.46,375201.36
3495,434320.92,425537.27,56446.75,420438.58
3496,400964.01,391907.6,68312.73,409336.64
3497,435157.96,382648.9,34479.79,318205.67
3498,410549.55,482446.24,29402.22,472826.6
3499,434500.73,464967.35,45789.65,431882.88
3500,465075.95,411570.12,25091,416155.71
3501,572445.02,425492.92,36302.38,394550.34
3502,548895.78,416520.37,30483.77,394823.99
3503,398451.17,504847.84,46107.95,458534.16
3504,428465.23,362410.63,47554.81,380687.61
3505,411405.49,469444.62,119297.72,357511.78
3506,500009.8,641892.67,42220.08,366832.34
3507,488459.73,613865.82,16580.48,354270.28
3508,613467.01,514817.6,55240.95,456817.81
3509,327445.03,422468.1,41091.17,490072.26
3510,545778.92,639077.85,36475.84,416916.51
3511,462282.16,474060.06,26074.37,414837.19
3512,426786.52,407043.58,46532.6,608103.65
3513,424854.2,559049.12,59082.24,410752.47
3514,336345.18,408272.02,36466.93,348450.75
3515,435217.67,585798.01,18264.39,447219.98
3516,449820.04,443135.19,38374.33,605359.98
3517,536938.13,465843.34,33690.41,396328.04
3518,379541.59,447568.88,128417.09,314443.64
3519,436238.1,501804.16,20832,479656.01
3520,446156.93,574623.57,45141.49,373816.49
3521,456438.16,542140.06,43635.86,593346.08
3522,456785.7,503725.77,114194.79,549394.52
3523,443686.34,507564.51,45620.39,556286.59
3524,443542.97,378554.13,30260.81,368225.31
3525,482982.67,462079.09,47156.86,377034.29
3526,468554.85,457423.94,40260.92,441884.09
3527,412276.52,354697.66,72811.55,372359.81
3528,388173,672613.48,47117.98,289773.58
3529,487737.74,494062.23,30918.72,328357.62
3530,407672.65,481003.53,39994.1,529498.45
3531,442523.94,383549.07,47696.95,390419.33
3532,537621.61,510171.8,23293.04,453888.64
3533,320786.02,457502.53,34625.75,422354.85
3534,392910.69,585757.86,34043.89,476933.54
3535,418702.46,536987.52,56227.66,360051.93
3536,387678.93,490461.12,65305.9,369997.12
3537,701719.54,458076.92,36237.6,398644.37
3538,523995.5,504094.55,66932.99,531319.16
3539,449961.6,478446.6,47702.06,381073.97
3540,320724.39,377544.99,38288.33,435475.6
3541,531866.27,367776.49,41215.9,447850.35
3542,429066.51,587626,26110.17,505719.71
3543,436411.55,473369.56,22670.37,382245.43
3544,473825.59,476221.17,26321.34,440456.62
3545,348480.3,503292.4,37929.1,383676.61
3546,386664.01,474255.04,32943.79,400287.64
3547,395298.17,447228.29,19269.13,418619.23
3548,429718.22,499395.95,120892.33,578239.94
3549,390707.69,366207.24,42299.28,391869.86
3550,374589.4,466793.45,52194.01,358073.92
3551,420826.7,454516.36,27144.41,425251.9
3552,488881.54,439846.9,67679.53,441324.7
3553,421096.46,475899.59,41617.53,505378.68
3554,422615.2,607798.06,41494.44,417937.69
3555,351510.23,451710.15,47515.15,454481.86
3556,405399.96,561086.58,22917.12,378307.19
3557,403216.21,526767.75,44415.96,423021.57
3558,369689.17,424969.6,60180.59,522459.16
3559,658979.89,370931.26,51091.96,573307.9
3560,465830.16,538235.77,46729.35,431948.69
3561,372097.3,444858.36,35757.51,517839.94
3562,461270.9,500925.84,26830.94,380695.67
3563,433926.65,391778.06,21498.61,337176.71
3564,472734.9,500990.23,52250.46,448453.77
3565,402695.25,433518.55,31608.75,462759.13
3566,516952.17,397530.25,32413.75,417601.3
3567,362756.37,441143.34,35766.57,382773.41
3568,378370.57,471076.04,33478.49,427479.38
3569,357838.28,440330.56,21602.46,454126.25
3570,523073.99,490777.99,45927.2,400873.52
3571,573380.16,309752.2,36443.11,576579.9
3572,395046.47,461010.47,26757.67,408166.85
3573,355232.56,439787.8,40817.28,411236.89
3574,439013.14,618622.22,43640.04,381044.47
3575,352521.2,503619.39,17733.2,494979.39
3576,611333.5,387180.54,28623.28,549637.79
